Id,Url,Brand,Model,Region,Engine,Engine_volume,Power,Transmission,Drive_unit,Color,Mileage,Rudder,Generation,Equipment,Body,Price
35,https://surgut.drom.ru/hyundai/solaris/46701912.html,Hyundai,Solaris,,бензин,1.6,123,АКПП,передний,оранжевый,120000,левый,"1 поколение, рестайлинг",,хэтчбек 5 дв.,850000
36,https://yakutsk.drom.ru/lada/2106/46745207.html,Лада,2106,Якутск,бензин,1.6,75,механика,задний,зеленый,85000,левый,1 поколение,,,80000
37,https://habarovsk.drom.ru/nissan/qashqai/46906940.html,Nissan,Qashqai,Хабаровск,бензин,2.0,141,вариатор,4WD,красный,156000,левый,1 поколение,,,765000
38,https://ekaterinburg.drom.ru/lada/2109/49140646.html,Лада,2109,Екатеринбург,бензин,1.5,78,механика,передний,зеленый,,левый,"1 поколение, рестайлинг",,,50000
39,https://krasnoyarsk.drom.ru/hyundai/starex/48496038.html,Hyundai,Starex,Красноярск,дизель,2.5,145,механика,задний,серый,396000,левый,"1 поколение, рестайлинг",2.5 CRDI MT Base Long (12 seats),,575000
40,https://korenovsk.drom.ru/chevrolet/cruze/48798619.html,Chevrolet,Cruze,Кореновск,бензин,1.6,109,механика,передний,черный,87816,левый,"1 поколение, рестайлинг",,седан,820000
41,https://feodosiya.drom.ru/nissan/murano/49140644.html,Nissan,Murano,Феодосия,бензин,3.5,249,вариатор,передний,белый,53000,левый,3 поколение,,джип/suv 5 дв.,2100000
42,https://krasnoyarsk.drom.ru/nissan/qashqai/49140630.html,Nissan,Qashqai,Красноярск,бензин,2.0,141,вариатор,4WD,серый,108000,левый,"1 поколение, рестайлинг",2.0 CVT 4WD SE+ ,,1000000
43,https://azov.drom.ru/mitsubishi/colt/49140643.html,Mitsubishi,Colt,Азов,бензин,1.3,95,робот,передний,черный,239000,левый,6 поколение,,хэтчбек 5 дв.,245000
44,https://tyumen.drom.ru/land_rover/range_rover_sport/48160240.html,Land Rover,Range Rover Sport,,бензин,4.2,390,АКПП,4WD,черный,300000,левый,1 поколение,4.2 AT Supercharged,,1450000
45,https://krasnodar.drom.ru/citroen/c4/49140642.html,Citroen,C4,Краснодар,бензин,1.6,120,АКПП,передний,белый,90000,левый,2 поколение,,седан,699000
46,https://bratsk.drom.ru/lexus/rx300/48380018.html,Lexus,RX300,Братск,бензин,2.0,238,АКПП,4WD,синий,37000,левый,4 поколение,2.0t AT AWD F Sport Executive,,5000000
47,https://izhevsk.drom.ru/lada/priora/49140640.html,Лада,Приора,Ижевск,бензин,1.6,98,механика,передний,зеленый,175000,левый,1 поколение,,седан,205000
48,https://krasnoyarsk.drom.ru/honda/fit/48237468.html,Honda,Fit,Красноярск,бензин,1.3,99,вариатор,передний,белый,94094,правый,"2 поколение, 2 рестайлинг",,,755000
49,https://krasnoyarsk.drom.ru/honda/fit/48251855.html,Honda,Fit,Красноярск,бензин,1.3,100,вариатор,передний,серый,96383,правый,2 поколение,,,720000
50,https://krasnoyarsk.drom.ru/honda/fit/48356199.html,Honda,Fit,Красноярск,бензин,1.3,100,вариатор,передний,голубой,52396,правый,2 поколение,,,695000
51,https://krasnoyarsk.drom.ru/honda/fit/48720680.html,Honda,Fit,Красноярск,бензин,1.3,100,вариатор,передний,серый,168846,правый,2 поколение,,,573000
52,https://krasnoyarsk.drom.ru/nissan/note/48973692.html,Nissan,Note,Красноярск,бензин,1.2,98,вариатор,передний,серый,84818,правый,2 поколение,,,737000
53,https://habarovsk.drom.ru/toyota/c-hr/49140604.html,Toyota,C-HR,Хабаровск,бензин,1.8,98,вариатор,передний,красный,23500,правый,"1 поколение, рестайлинг",Hybrid 1.8 G,,2150000
54,https://sochi.drom.ru/lada/2107/49140305.html,Лада,2107,Сочи,бензин,1.6,74,механика,задний,белый,90000,,1 поколение,1.6 MT 21074-30-013 Стандарт,,69000
55,https://tyumen.drom.ru/toyota/land_cruiser_prado/48129965.html,Toyota,Land Cruiser Prado,Тюмень,бензин,2.7,163,АКПП,4WD,черный,1000,левый,"4 поколение, 2 рестайлинг",,джип/suv 5 дв.,5550000
56,https://omsk.drom.ru/kia/picanto/49140639.html,Kia,Picanto,Омск,бензин,1.1,65,АКПП,передний,голубой,82000,левый,"1 поколение, рестайлинг",,хэтчбек 5 дв.,420000
57,https://shebekino.drom.ru/lada/2110/49140638.html,Лада,2110,,бензин,1.5,78,механика,передний,серебристый,220009,,1 поколение,1.5i MT 21102,,105000
58,https://surgut.drom.ru/haval/f7x/49140637.html,Haval,F7x,Сургут,бензин,2.0,190,робот,4WD,черный,15000,левый,1 поколение,2.0 4WD SAT Elite,,2600000
59,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,бензин,2.0,143,механика,4WD,белый,34137,левый,,,,1580000
60,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,бензин,2.0,143,механика,4WD,белый,34137,левый,,,,1580000
61,https://irkutsk.drom.ru/toyota/corolla_fielder/49140632.html,Toyota,Corolla Fielder,Иркутск,бензин,1.5,74,вариатор,передний,белый,187000,правый,"3 поколение, рестайлинг", 1.5 Hybrid,,995000
62,https://spb.drom.ru/toyota/avensis/49140635.html,Toyota,Avensis,Санкт-Петербург,бензин,1.8,129,механика,передний,серебристый,175000,левый,"2 поколение, рестайлинг",,седан,610000
63,https://krasnoyarsk.drom.ru/peugeot/308/49080969.html,Peugeot,308,Красноярск,бензин,1.6,120,АКПП,передний,красный,150000,левый,1 поколение,,хэтчбек 5 дв.,398000
64,https://moscow.drom.ru/bmw/5-series/49140633.html,BMW,5-Series,Москва,дизель,3.0,249,АКПП,4WD,черный,147849,левый,7 поколение,,седан,3245000
65,https://novokuznetsk.drom.ru/mazda/demio/49140631.html,Mazda,Demio,Новокузнецк,бензин,1.3,91,АКПП,передний,черный,216000,правый,"3 поколение, рестайлинг",,,400000
66,https://nyagan.drom.ru/bmw/6-series/49084373.html,BMW,6-Series,,бензин,4.4,333,АКПП,задний,черный,24000,левый,2 поколение,,купе,1000000
67,https://rostov-na-donu.drom.ru/lada/2107/49140629.html,Лада,2107,Ростов-на-Дону,бензин,1.6,76,механика,задний,бордовый,60000,,1 поколение,1.6 MT 21074,,85000
68,https://anzhero-sudzhensk.drom.ru/kia/k5/48519931.html,Kia,K5,Анжеро-Судженск,бензин,2.5,194,АКПП,передний,серый,43000,левый,5 поколение,2.5 GDI AT GT Line+,,2729000
69,https://krasnoyarsk.drom.ru/infiniti/q50/46134080.html,Infiniti,Q50,,бензин,2.0,211,АКПП,задний,черный,40000,левый,"4 поколение, рестайлинг",2.0 Pure,,2300000
70,https://berdsk.drom.ru/nissan/teana/48963284.html,Nissan,Teana,Бердск,бензин,3.5,249,вариатор,передний,черный,183000,левый,2 поколение,,,1100000
71,https://moscow.drom.ru/dongfeng/580/48653091.html,Dongfeng,580,Официальный дилер,бензин,1.5,145,вариатор,передний,черный,,левый,"1 поколение, рестайлинг",1.5T CVT Luxury,,2199000
72,https://tokarevka.drom.ru/lada/priora/49140627.html,Лада,Приора,Токаревка,бензин,1.6,98,механика,передний,зеленый,287000,левый,1 поколение,,седан,220000
73,https://armyansk.drom.ru/volkswagen/golf/49140626.html,Volkswagen,Golf,Армянск,бензин,1.6,102,механика,передний,серебристый,229000,левый,5 поколение,,хэтчбек 5 дв.,565000
74,https://krasnoyarsk.drom.ru/audi/q7/45938875.html,Audi,Q7,Красноярск,дизель,3.0,249,АКПП,4WD,коричневый,200500,левый,2 поколение,3.0 45 TDI quattro tiptronic,,3700000
75,https://omsk.drom.ru/daewoo/gentra/48165745.html,Daewoo,Gentra,Омск,бензин,1.5,107,механика,передний,белый,91000,левый,2 поколение,,седан,470000
76,https://tyumen.drom.ru/lada/2110/49140625.html,Лада,2110,,бензин,1.6,80,механика,передний,бежевый,258000,,1 поколение,1.6i MT 21101,,165000
77,https://omsk.drom.ru/hyundai/ix55/48387312.html,Hyundai,ix55,Омск,дизель,3.0,239,АКПП,4WD,синий,216000,левый,1 поколение,3.0D Family,,1250000
78,https://stavropol.drom.ru/bmw/5-series/49140624.html,BMW,5-Series,Ставрополь,бензин,2.0,249,АКПП,4WD,белый,70000,левый,7 поколение,,седан,3250000
79,https://krasnoyarsk.drom.ru/toyota/vitz/47366920.html,Toyota,Vitz,Красноярск,бензин,1.0,71,вариатор,передний,серебристый,56166,правый,"2 поколение, рестайлинг",,хэтчбек 5 дв.,587000
80,https://krasnoyarsk.drom.ru/toyota/vitz/47433276.html,Toyota,Vitz,Красноярск,бензин,1.0,69,вариатор,передний,черный,78906,правый,3 поколение,,хэтчбек 5 дв.,685000
81,https://abakan.drom.ru/bmw/x5/47661560.html,BMW,X5,,бензин,4.4,286,АКПП,4WD,синий,200000,левый,1 поколение,4.4i AT xDrive,,333000
82,https://krasnoyarsk.drom.ru/toyota/vitz/48464533.html,Toyota,Vitz,Красноярск,бензин,1.0,71,вариатор,передний,черный,18360,правый,"2 поколение, рестайлинг",,хэтчбек 5 дв.,617000
83,https://krasnoyarsk.drom.ru/toyota/prius/48508105.html,Toyota,Prius,Красноярск,бензин,1.8,99,вариатор,передний,фиолетовый,114199,правый,"3 поколение, рестайлинг",,лифтбек,1115000
84,https://krasnoyarsk.drom.ru/honda/freed/48508592.html,Honda,Freed,Красноярск,бензин,1.5,118,вариатор,передний,голубой,80813,правый,"1 поколение, рестайлинг",1.5 G aero (7-Seater),,865000
